subject	roi_set	roi	condition	run	target_phase	ok	n_learn_trials	n_phase_patterns	fail_reason
sub-15	meta_metaphor	meta_L_AG	kj	3	retrieval	True	35	70	
sub-15	meta_metaphor	meta_L_AG	kj	4	pre	False	35	70	no finite reinstatement values
sub-15	meta_metaphor	meta_L_AG	kj	4	post	False	35	70	no finite reinstatement values
sub-15	meta_metaphor	meta_L_AG	kj	4	retrieval	True	35	70	
sub-15	meta_metaphor	meta_L_IFG	yy	3	pre	False	35	70	no finite reinstatement values
sub-15	meta_metaphor	meta_L_IFG	yy	3	post	False	35	70	no finite reinstatement values
sub-15	meta_metaphor	meta_L_IFG	yy	3	retrieval	True	35	70	
sub-15	meta_metaphor	meta_L_IFG	yy	4	pre	False	35	70	no finite reinstatement values
sub-15	meta_metaphor	meta_L_IFG	yy	4	post	False	35	70	no finite reinstatement values
sub-15	meta_metaphor	meta_L_IFG	yy	4	retrieval	True	35	70	
sub-15	meta_metaphor	meta_L_IFG	kj	3	pre	False	35	70	no finite reinstatement values
sub-15	meta_metaphor	meta_L_IFG	kj	3	post	False	35	70	no finite reinstatement values
sub-15	meta_metaphor	meta_L_IFG	kj	3	retrieval	True	35	70	
sub-15	meta_metaphor	meta_L_IFG	kj	4	pre	False	35	70	no finite reinstatement values
sub-15	meta_metaphor	meta_L_IFG	kj	4	post	False	35	70	no finite reinstatement values
sub-15	meta_metaphor	meta_L_IFG	kj	4	retrieval	True	35	70	
sub-15	meta_metaphor	meta_L_pMTG_pSTS	yy	3	pre	False	35	70	no finite reinstatement values
sub-15	meta_metaphor	meta_L_pMTG_pSTS	yy	3	post	False	35	70	no finite reinstatement values
sub-15	meta_metaphor	meta_L_pMTG_pSTS	yy	3	retrieval	True	35	70	
sub-15	meta_metaphor	meta_L_pMTG_pSTS	yy	4	pre	False	35	70	no finite reinstatement values
sub-15	meta_metaphor	meta_L_pMTG_pSTS	yy	4	post	False	35	70	no finite reinstatement values
sub-15	meta_metaphor	meta_L_pMTG_pSTS	yy	4	retrieval	True	35	70	
sub-15	meta_metaphor	meta_L_pMTG_pSTS	kj	3	pre	False	35	70	no finite reinstatement values
sub-15	meta_metaphor	meta_L_pMTG_pSTS	kj	3	post	False	35	70	no finite reinstatement values
sub-15	meta_metaphor	meta_L_pMTG_pSTS	kj	3	retrieval	True	35	70	
sub-15	meta_metaphor	meta_L_pMTG_pSTS	kj	4	pre	False	35	70	no finite reinstatement values
sub-15	meta_metaphor	meta_L_pMTG_pSTS	kj	4	post	False	35	70	no finite reinstatement values
sub-15	meta_metaphor	meta_L_pMTG_pSTS	kj	4	retrieval	True	35	70	
sub-15	meta_metaphor	meta_L_temporal_pole	yy	3	pre	False	35	70	no finite reinstatement values
sub-15	meta_metaphor	meta_L_temporal_pole	yy	3	post	False	35	70	no finite reinstatement values
sub-15	meta_metaphor	meta_L_temporal_pole	yy	3	retrieval	True	35	70	
sub-15	meta_metaphor	meta_L_temporal_pole	yy	4	pre	False	35	70	no finite reinstatement values
sub-15	meta_metaphor	meta_L_temporal_pole	yy	4	post	False	35	70	no finite reinstatement values
sub-15	meta_metaphor	meta_L_temporal_pole	yy	4	retrieval	True	35	70	
sub-15	meta_metaphor	meta_L_temporal_pole	kj	3	pre	False	35	70	no finite reinstatement values
sub-15	meta_metaphor	meta_L_temporal_pole	kj	3	post	False	35	70	no finite reinstatement values
sub-15	meta_metaphor	meta_L_temporal_pole	kj	3	retrieval	True	35	70	
sub-15	meta_metaphor	meta_L_temporal_pole	kj	4	pre	False	35	70	no finite reinstatement values
sub-15	meta_metaphor	meta_L_temporal_pole	kj	4	post	False	35	70	no finite reinstatement values
sub-15	meta_metaphor	meta_L_temporal_pole	kj	4	retrieval	True	35	70	
sub-15	meta_metaphor	meta_R_AG	yy	3	pre	False	35	70	no finite reinstatement values
sub-15	meta_metaphor	meta_R_AG	yy	3	post	False	35	70	no finite reinstatement values
sub-15	meta_metaphor	meta_R_AG	yy	3	retrieval	True	35	70	
sub-15	meta_metaphor	meta_R_AG	yy	4	pre	False	35	70	no finite reinstatement values
sub-15	meta_metaphor	meta_R_AG	yy	4	post	False	35	70	no finite reinstatement values
sub-15	meta_metaphor	meta_R_AG	yy	4	retrieval	True	35	70	
sub-15	meta_metaphor	meta_R_AG	kj	3	pre	False	35	70	no finite reinstatement values
sub-15	meta_metaphor	meta_R_AG	kj	3	post	False	35	70	no finite reinstatement values
sub-15	meta_metaphor	meta_R_AG	kj	3	retrieval	True	35	70	
sub-15	meta_metaphor	meta_R_AG	kj	4	pre	False	35	70	no finite reinstatement values
sub-15	meta_metaphor	meta_R_AG	kj	4	post	False	35	70	no finite reinstatement values
sub-15	meta_metaphor	meta_R_AG	kj	4	retrieval	True	35	70	
sub-15	meta_metaphor	meta_R_IFG	yy	3	pre	False	35	70	no finite reinstatement values
sub-15	meta_metaphor	meta_R_IFG	yy	3	post	False	35	70	no finite reinstatement values
sub-15	meta_metaphor	meta_R_IFG	yy	3	retrieval	True	35	70	
sub-15	meta_metaphor	meta_R_IFG	yy	4	pre	False	35	70	no finite reinstatement values
sub-15	meta_metaphor	meta_R_IFG	yy	4	post	False	35	70	no finite reinstatement values
sub-15	meta_metaphor	meta_R_IFG	yy	4	retrieval	True	35	70	
sub-15	meta_metaphor	meta_R_IFG	kj	3	pre	False	35	70	no finite reinstatement values
sub-15	meta_metaphor	meta_R_IFG	kj	3	post	False	35	70	no finite reinstatement values
sub-15	meta_metaphor	meta_R_IFG	kj	3	retrieval	True	35	70	
sub-15	meta_metaphor	meta_R_IFG	kj	4	pre	False	35	70	no finite reinstatement values
sub-15	meta_metaphor	meta_R_IFG	kj	4	post	False	35	70	no finite reinstatement values
sub-15	meta_metaphor	meta_R_IFG	kj	4	retrieval	True	35	70	
sub-15	meta_metaphor	meta_R_pMTG_pSTS	yy	3	pre	False	35	70	no finite reinstatement values
sub-15	meta_metaphor	meta_R_pMTG_pSTS	yy	3	post	False	35	70	no finite reinstatement values
sub-15	meta_metaphor	meta_R_pMTG_pSTS	yy	3	retrieval	True	35	70	
sub-15	meta_metaphor	meta_R_pMTG_pSTS	yy	4	pre	False	35	70	no finite reinstatement values
sub-15	meta_metaphor	meta_R_pMTG_pSTS	yy	4	post	False	35	70	no finite reinstatement values
sub-15	meta_metaphor	meta_R_pMTG_pSTS	yy	4	retrieval	True	35	70	
sub-15	meta_metaphor	meta_R_pMTG_pSTS	kj	3	pre	False	35	70	no finite reinstatement values
sub-15	meta_metaphor	meta_R_pMTG_pSTS	kj	3	post	False	35	70	no finite reinstatement values
sub-15	meta_metaphor	meta_R_pMTG_pSTS	kj	3	retrieval	True	35	70	
sub-15	meta_metaphor	meta_R_pMTG_pSTS	kj	4	pre	False	35	70	no finite reinstatement values
sub-15	meta_metaphor	meta_R_pMTG_pSTS	kj	4	post	False	35	70	no finite reinstatement values
sub-15	meta_metaphor	meta_R_pMTG_pSTS	kj	4	retrieval	True	35	70	
sub-15	meta_metaphor	meta_R_temporal_pole	yy	3	pre	False	35	70	no finite reinstatement values
sub-15	meta_metaphor	meta_R_temporal_pole	yy	3	post	False	35	70	no finite reinstatement values
sub-15	meta_metaphor	meta_R_temporal_pole	yy	3	retrieval	True	35	70	
sub-15	meta_metaphor	meta_R_temporal_pole	yy	4	pre	False	35	70	no finite reinstatement values
sub-15	meta_metaphor	meta_R_temporal_pole	yy	4	post	False	35	70	no finite reinstatement values
sub-15	meta_metaphor	meta_R_temporal_pole	yy	4	retrieval	True	35	70	
sub-15	meta_metaphor	meta_R_temporal_pole	kj	3	pre	False	35	70	no finite reinstatement values
sub-15	meta_metaphor	meta_R_temporal_pole	kj	3	post	False	35	70	no finite reinstatement values
sub-15	meta_metaphor	meta_R_temporal_pole	kj	3	retrieval	True	35	70	
sub-15	meta_metaphor	meta_R_temporal_pole	kj	4	pre	False	35	70	no finite reinstatement values
sub-15	meta_metaphor	meta_R_temporal_pole	kj	4	post	False	35	70	no finite reinstatement values
sub-15	meta_metaphor	meta_R_temporal_pole	kj	4	retrieval	True	35	70	
sub-16	meta_metaphor	meta_L_AG	yy	3	pre	False	35	70	no finite reinstatement values
sub-16	meta_metaphor	meta_L_AG	yy	3	post	False	35	70	no finite reinstatement values
sub-16	meta_metaphor	meta_L_AG	yy	3	retrieval	True	35	70	
sub-16	meta_metaphor	meta_L_AG	yy	4	pre	False	35	70	no finite reinstatement values
sub-16	meta_metaphor	meta_L_AG	yy	4	post	False	35	70	no finite reinstatement values
sub-16	meta_metaphor	meta_L_AG	yy	4	retrieval	True	35	70	
sub-16	meta_metaphor	meta_L_AG	kj	3	pre	False	35	70	no finite reinstatement values
sub-16	meta_metaphor	meta_L_AG	kj	3	post	False	35	70	no finite reinstatement values
sub-16	meta_metaphor	meta_L_AG	kj	3	retrieval	True	35	70	
sub-16	meta_metaphor	meta_L_AG	kj	4	pre	False	35	70	no finite reinstatement values
sub-16	meta_metaphor	meta_L_AG	kj	4	post	False	35	70	no finite reinstatement values
sub-16	meta_metaphor	meta_L_AG	kj	4	retrieval	True	35	70	
sub-16	meta_metaphor	meta_L_IFG	yy	3	pre	False	35	70	no finite reinstatement values
sub-16	meta_metaphor	meta_L_IFG	yy	3	post	False	35	70	no finite reinstatement values
sub-16	meta_metaphor	meta_L_IFG	yy	3	retrieval	True	35	70	
sub-16	meta_metaphor	meta_L_IFG	yy	4	pre	False	35	70	no finite reinstatement values
sub-16	meta_metaphor	meta_L_IFG	yy	4	post	False	35	70	no finite reinstatement values
sub-16	meta_metaphor	meta_L_IFG	yy	4	retrieval	True	35	70	
sub-16	meta_metaphor	meta_L_IFG	kj	3	pre	False	35	70	no finite reinstatement values
sub-16	meta_metaphor	meta_L_IFG	kj	3	post	False	35	70	no finite reinstatement values
sub-16	meta_metaphor	meta_L_IFG	kj	3	retrieval	True	35	70	
sub-16	meta_metaphor	meta_L_IFG	kj	4	pre	False	35	70	no finite reinstatement values
sub-16	meta_metaphor	meta_L_IFG	kj	4	post	False	35	70	no finite reinstatement values
sub-16	meta_metaphor	meta_L_IFG	kj	4	retrieval	True	35	70	
sub-16	meta_metaphor	meta_L_pMTG_pSTS	yy	3	pre	False	35	70	no finite reinstatement values
sub-16	meta_metaphor	meta_L_pMTG_pSTS	yy	3	post	False	35	70	no finite reinstatement values
sub-16	meta_metaphor	meta_L_pMTG_pSTS	yy	3	retrieval	True	35	70	
sub-16	meta_metaphor	meta_L_pMTG_pSTS	yy	4	pre	False	35	70	no finite reinstatement values
sub-16	meta_metaphor	meta_L_pMTG_pSTS	yy	4	post	False	35	70	no finite reinstatement values
sub-16	meta_metaphor	meta_L_pMTG_pSTS	yy	4	retrieval	True	35	70	
sub-16	meta_metaphor	meta_L_pMTG_pSTS	kj	3	pre	False	35	70	no finite reinstatement values
sub-16	meta_metaphor	meta_L_pMTG_pSTS	kj	3	post	False	35	70	no finite reinstatement values
sub-16	meta_metaphor	meta_L_pMTG_pSTS	kj	3	retrieval	True	35	70	
sub-16	meta_metaphor	meta_L_pMTG_pSTS	kj	4	pre	False	35	70	no finite reinstatement values
sub-16	meta_metaphor	meta_L_pMTG_pSTS	kj	4	post	False	35	70	no finite reinstatement values
sub-16	meta_metaphor	meta_L_pMTG_pSTS	kj	4	retrieval	True	35	70	
sub-16	meta_metaphor	meta_L_temporal_pole	yy	3	pre	False	35	70	no finite reinstatement values
sub-16	meta_metaphor	meta_L_temporal_pole	yy	3	post	False	35	70	no finite reinstatement values
sub-16	meta_metaphor	meta_L_temporal_pole	yy	3	retrieval	True	35	70	
sub-16	meta_metaphor	meta_L_temporal_pole	yy	4	pre	False	35	70	no finite reinstatement values
sub-16	meta_metaphor	meta_L_temporal_pole	yy	4	post	False	35	70	no finite reinstatement values
sub-16	meta_metaphor	meta_L_temporal_pole	yy	4	retrieval	True	35	70	
sub-16	meta_metaphor	meta_L_temporal_pole	kj	3	pre	False	35	70	no finite reinstatement values
sub-16	meta_metaphor	meta_L_temporal_pole	kj	3	post	False	35	70	no finite reinstatement values
sub-16	meta_metaphor	meta_L_temporal_pole	kj	3	retrieval	True	35	70	
sub-16	meta_metaphor	meta_L_temporal_pole	kj	4	pre	False	35	70	no finite reinstatement values
sub-16	meta_metaphor	meta_L_temporal_pole	kj	4	post	False	35	70	no finite reinstatement values
sub-16	meta_metaphor	meta_L_temporal_pole	kj	4	retrieval	True	35	70	
sub-16	meta_metaphor	meta_R_AG	yy	3	pre	False	35	70	no finite reinstatement values
sub-16	meta_metaphor	meta_R_AG	yy	3	post	False	35	70	no finite reinstatement values
sub-16	meta_metaphor	meta_R_AG	yy	3	retrieval	True	35	70	
sub-16	meta_metaphor	meta_R_AG	yy	4	pre	False	35	70	no finite reinstatement values
sub-16	meta_metaphor	meta_R_AG	yy	4	post	False	35	70	no finite reinstatement values
sub-16	meta_metaphor	meta_R_AG	yy	4	retrieval	True	35	70	
sub-16	meta_metaphor	meta_R_AG	kj	3	pre	False	35	70	no finite reinstatement values
sub-16	meta_metaphor	meta_R_AG	kj	3	post	False	35	70	no finite reinstatement values
sub-16	meta_metaphor	meta_R_AG	kj	3	retrieval	True	35	70	
sub-16	meta_metaphor	meta_R_AG	kj	4	pre	False	35	70	no finite reinstatement values
sub-16	meta_metaphor	meta_R_AG	kj	4	post	False	35	70	no finite reinstatement values
sub-16	meta_metaphor	meta_R_AG	kj	4	retrieval	True	35	70	
sub-16	meta_metaphor	meta_R_IFG	yy	3	pre	False	35	70	no finite reinstatement values
sub-16	meta_metaphor	meta_R_IFG	yy	3	post	False	35	70	no finite reinstatement values
sub-16	meta_metaphor	meta_R_IFG	yy	3	retrieval	True	35	70	
sub-16	meta_metaphor	meta_R_IFG	yy	4	pre	False	35	70	no finite reinstatement values
sub-16	meta_metaphor	meta_R_IFG	yy	4	post	False	35	70	no finite reinstatement values
sub-16	meta_metaphor	meta_R_IFG	yy	4	retrieval	True	35	70	
sub-16	meta_metaphor	meta_R_IFG	kj	3	pre	False	35	70	no finite reinstatement values
sub-16	meta_metaphor	meta_R_IFG	kj	3	post	False	35	70	no finite reinstatement values
sub-16	meta_metaphor	meta_R_IFG	kj	3	retrieval	True	35	70	
sub-16	meta_metaphor	meta_R_IFG	kj	4	pre	False	35	70	no finite reinstatement values
sub-16	meta_metaphor	meta_R_IFG	kj	4	post	False	35	70	no finite reinstatement values
sub-16	meta_metaphor	meta_R_IFG	kj	4	retrieval	True	35	70	
sub-16	meta_metaphor	meta_R_pMTG_pSTS	yy	3	pre	False	35	70	no finite reinstatement values
sub-16	meta_metaphor	meta_R_pMTG_pSTS	yy	3	post	False	35	70	no finite reinstatement values
sub-16	meta_metaphor	meta_R_pMTG_pSTS	yy	3	retrieval	True	35	70	
sub-16	meta_metaphor	meta_R_pMTG_pSTS	yy	4	pre	False	35	70	no finite reinstatement values
sub-16	meta_metaphor	meta_R_pMTG_pSTS	yy	4	post	False	35	70	no finite reinstatement values
sub-16	meta_metaphor	meta_R_pMTG_pSTS	yy	4	retrieval	True	35	70	
sub-16	meta_metaphor	meta_R_pMTG_pSTS	kj	3	pre	False	35	70	no finite reinstatement values
sub-16	meta_metaphor	meta_R_pMTG_pSTS	kj	3	post	False	35	70	no finite reinstatement values
sub-16	meta_metaphor	meta_R_pMTG_pSTS	kj	3	retrieval	True	35	70	
sub-16	meta_metaphor	meta_R_pMTG_pSTS	kj	4	pre	False	35	70	no finite reinstatement values
sub-16	meta_metaphor	meta_R_pMTG_pSTS	kj	4	post	False	35	70	no finite reinstatement values
sub-16	meta_metaphor	meta_R_pMTG_pSTS	kj	4	retrieval	True	35	70	
sub-16	meta_metaphor	meta_R_temporal_pole	yy	3	pre	False	35	70	no finite reinstatement values
sub-16	meta_metaphor	meta_R_temporal_pole	yy	3	post	False	35	70	no finite reinstatement values
sub-16	meta_metaphor	meta_R_temporal_pole	yy	3	retrieval	True	35	70	
sub-16	meta_metaphor	meta_R_temporal_pole	yy	4	pre	False	35	70	no finite reinstatement values
sub-16	meta_metaphor	meta_R_temporal_pole	yy	4	post	False	35	70	no finite reinstatement values
sub-16	meta_metaphor	meta_R_temporal_pole	yy	4	retrieval	True	35	70	
sub-16	meta_metaphor	meta_R_temporal_pole	kj	3	pre	False	35	70	no finite reinstatement values
sub-16	meta_metaphor	meta_R_temporal_pole	kj	3	post	False	35	70	no finite reinstatement values
sub-16	meta_metaphor	meta_R_temporal_pole	kj	3	retrieval	True	35	70	
sub-16	meta_metaphor	meta_R_temporal_pole	kj	4	pre	False	35	70	no finite reinstatement values
sub-16	meta_metaphor	meta_R_temporal_pole	kj	4	post	False	35	70	no finite reinstatement values
sub-16	meta_metaphor	meta_R_temporal_pole	kj	4	retrieval	True	35	70	
sub-17	meta_metaphor	meta_L_AG	yy	3	pre	False	35	70	no finite reinstatement values
sub-17	meta_metaphor	meta_L_AG	yy	3	post	False	35	70	no finite reinstatement values
sub-17	meta_metaphor	meta_L_AG	yy	3	retrieval	True	35	70	
sub-17	meta_metaphor	meta_L_AG	yy	4	pre	False	35	70	no finite reinstatement values
sub-17	meta_metaphor	meta_L_AG	yy	4	post	False	35	70	no finite reinstatement values
sub-17	meta_metaphor	meta_L_AG	yy	4	retrieval	True	35	70	
sub-17	meta_metaphor	meta_L_AG	kj	3	pre	False	35	70	no finite reinstatement values
sub-17	meta_metaphor	meta_L_AG	kj	3	post	False	35	70	no finite reinstatement values
sub-17	meta_metaphor	meta_L_AG	kj	3	retrieval	True	35	70	
sub-17	meta_metaphor	meta_L_AG	kj	4	pre	False	35	70	no finite reinstatement values
sub-17	meta_metaphor	meta_L_AG	kj	4	post	False	35	70	no finite reinstatement values
sub-17	meta_metaphor	meta_L_AG	kj	4	retrieval	True	35	70	
sub-17	meta_metaphor	meta_L_IFG	yy	3	pre	False	35	70	no finite reinstatement values
sub-17	meta_metaphor	meta_L_IFG	yy	3	post	False	35	70	no finite reinstatement values
sub-17	meta_metaphor	meta_L_IFG	yy	3	retrieval	True	35	70	
sub-17	meta_metaphor	meta_L_IFG	yy	4	pre	False	35	70	no finite reinstatement values
sub-17	meta_metaphor	meta_L_IFG	yy	4	post	False	35	70	no finite reinstatement values
sub-17	meta_metaphor	meta_L_IFG	yy	4	retrieval	True	35	70	
sub-17	meta_metaphor	meta_L_IFG	kj	3	pre	False	35	70	no finite reinstatement values
sub-17	meta_metaphor	meta_L_IFG	kj	3	post	False	35	70	no finite reinstatement values
sub-17	meta_metaphor	meta_L_IFG	kj	3	retrieval	True	35	70	
sub-17	meta_metaphor	meta_L_IFG	kj	4	pre	False	35	70	no finite reinstatement values
sub-17	meta_metaphor	meta_L_IFG	kj	4	post	False	35	70	no finite reinstatement values
sub-17	meta_metaphor	meta_L_IFG	kj	4	retrieval	True	35	70	
sub-17	meta_metaphor	meta_L_pMTG_pSTS	yy	3	pre	False	35	70	no finite reinstatement values
sub-17	meta_metaphor	meta_L_pMTG_pSTS	yy	3	post	False	35	70	no finite reinstatement values
sub-17	meta_metaphor	meta_L_pMTG_pSTS	yy	3	retrieval	True	35	70	
sub-17	meta_metaphor	meta_L_pMTG_pSTS	yy	4	pre	False	35	70	no finite reinstatement values
sub-17	meta_metaphor	meta_L_pMTG_pSTS	yy	4	post	False	35	70	no finite reinstatement values
sub-17	meta_metaphor	meta_L_pMTG_pSTS	yy	4	retrieval	True	35	70	
sub-17	meta_metaphor	meta_L_pMTG_pSTS	kj	3	pre	False	35	70	no finite reinstatement values
sub-17	meta_metaphor	meta_L_pMTG_pSTS	kj	3	post	False	35	70	no finite reinstatement values
sub-17	meta_metaphor	meta_L_pMTG_pSTS	kj	3	retrieval	True	35	70	
sub-17	meta_metaphor	meta_L_pMTG_pSTS	kj	4	pre	False	35	70	no finite reinstatement values
sub-17	meta_metaphor	meta_L_pMTG_pSTS	kj	4	post	False	35	70	no finite reinstatement values
sub-17	meta_metaphor	meta_L_pMTG_pSTS	kj	4	retrieval	True	35	70	
sub-17	meta_metaphor	meta_L_temporal_pole	yy	3	pre	False	35	70	no finite reinstatement values
sub-17	meta_metaphor	meta_L_temporal_pole	yy	3	post	False	35	70	no finite reinstatement values
sub-17	meta_metaphor	meta_L_temporal_pole	yy	3	retrieval	True	35	70	
sub-17	meta_metaphor	meta_L_temporal_pole	yy	4	pre	False	35	70	no finite reinstatement values
sub-17	meta_metaphor	meta_L_temporal_pole	yy	4	post	False	35	70	no finite reinstatement values
sub-17	meta_metaphor	meta_L_temporal_pole	yy	4	retrieval	True	35	70	
sub-17	meta_metaphor	meta_L_temporal_pole	kj	3	pre	False	35	70	no finite reinstatement values
sub-17	meta_metaphor	meta_L_temporal_pole	kj	3	post	False	35	70	no finite reinstatement values
sub-17	meta_metaphor	meta_L_temporal_pole	kj	3	retrieval	True	35	70	
sub-17	meta_metaphor	meta_L_temporal_pole	kj	4	pre	False	35	70	no finite reinstatement values
sub-17	meta_metaphor	meta_L_temporal_pole	kj	4	post	False	35	70	no finite reinstatement values
sub-17	meta_metaphor	meta_L_temporal_pole	kj	4	retrieval	True	35	70	
sub-17	meta_metaphor	meta_R_AG	yy	3	pre	False	35	70	no finite reinstatement values
sub-17	meta_metaphor	meta_R_AG	yy	3	post	False	35	70	no finite reinstatement values
sub-17	meta_metaphor	meta_R_AG	yy	3	retrieval	True	35	70	
sub-17	meta_metaphor	meta_R_AG	yy	4	pre	False	35	70	no finite reinstatement values
sub-17	meta_metaphor	meta_R_AG	yy	4	post	False	35	70	no finite reinstatement values
sub-17	meta_metaphor	meta_R_AG	yy	4	retrieval	True	35	70	
sub-17	meta_metaphor	meta_R_AG	kj	3	pre	False	35	70	no finite reinstatement values
sub-17	meta_metaphor	meta_R_AG	kj	3	post	False	35	70	no finite reinstatement values
sub-17	meta_metaphor	meta_R_AG	kj	3	retrieval	True	35	70	
sub-17	meta_metaphor	meta_R_AG	kj	4	pre	False	35	70	no finite reinstatement values
sub-17	meta_metaphor	meta_R_AG	kj	4	post	False	35	70	no finite reinstatement values
sub-17	meta_metaphor	meta_R_AG	kj	4	retrieval	True	35	70	
sub-17	meta_metaphor	meta_R_IFG	yy	3	pre	False	35	70	no finite reinstatement values
sub-17	meta_metaphor	meta_R_IFG	yy	3	post	False	35	70	no finite reinstatement values
sub-17	meta_metaphor	meta_R_IFG	yy	3	retrieval	True	35	70	
sub-17	meta_metaphor	meta_R_IFG	yy	4	pre	False	35	70	no finite reinstatement values
sub-17	meta_metaphor	meta_R_IFG	yy	4	post	False	35	70	no finite reinstatement values
sub-17	meta_metaphor	meta_R_IFG	yy	4	retrieval	True	35	70	
sub-17	meta_metaphor	meta_R_IFG	kj	3	pre	False	35	70	no finite reinstatement values
sub-17	meta_metaphor	meta_R_IFG	kj	3	post	False	35	70	no finite reinstatement values
sub-17	meta_metaphor	meta_R_IFG	kj	3	retrieval	True	35	70	
sub-17	meta_metaphor	meta_R_IFG	kj	4	pre	False	35	70	no finite reinstatement values
sub-17	meta_metaphor	meta_R_IFG	kj	4	post	False	35	70	no finite reinstatement values
sub-17	meta_metaphor	meta_R_IFG	kj	4	retrieval	True	35	70	
sub-17	meta_metaphor	meta_R_pMTG_pSTS	yy	3	pre	False	35	70	no finite reinstatement values
sub-17	meta_metaphor	meta_R_pMTG_pSTS	yy	3	post	False	35	70	no finite reinstatement values
sub-17	meta_metaphor	meta_R_pMTG_pSTS	yy	3	retrieval	True	35	70	
sub-17	meta_metaphor	meta_R_pMTG_pSTS	yy	4	pre	False	35	70	no finite reinstatement values
sub-17	meta_metaphor	meta_R_pMTG_pSTS	yy	4	post	False	35	70	no finite reinstatement values
sub-17	meta_metaphor	meta_R_pMTG_pSTS	yy	4	retrieval	True	35	70	
sub-17	meta_metaphor	meta_R_pMTG_pSTS	kj	3	pre	False	35	70	no finite reinstatement values
sub-17	meta_metaphor	meta_R_pMTG_pSTS	kj	3	post	False	35	70	no finite reinstatement values
sub-17	meta_metaphor	meta_R_pMTG_pSTS	kj	3	retrieval	True	35	70	
sub-17	meta_metaphor	meta_R_pMTG_pSTS	kj	4	pre	False	35	70	no finite reinstatement values
sub-17	meta_metaphor	meta_R_pMTG_pSTS	kj	4	post	False	35	70	no finite reinstatement values
sub-17	meta_metaphor	meta_R_pMTG_pSTS	kj	4	retrieval	True	35	70	
sub-17	meta_metaphor	meta_R_temporal_pole	yy	3	pre	False	35	70	no finite reinstatement values
sub-17	meta_metaphor	meta_R_temporal_pole	yy	3	post	False	35	70	no finite reinstatement values
sub-17	meta_metaphor	meta_R_temporal_pole	yy	3	retrieval	True	35	70	
sub-17	meta_metaphor	meta_R_temporal_pole	yy	4	pre	False	35	70	no finite reinstatement values
sub-17	meta_metaphor	meta_R_temporal_pole	yy	4	post	False	35	70	no finite reinstatement values
sub-17	meta_metaphor	meta_R_temporal_pole	yy	4	retrieval	True	35	70	
sub-17	meta_metaphor	meta_R_temporal_pole	kj	3	pre	False	35	70	no finite reinstatement values
sub-17	meta_metaphor	meta_R_temporal_pole	kj	3	post	False	35	70	no finite reinstatement values
sub-17	meta_metaphor	meta_R_temporal_pole	kj	3	retrieval	True	35	70	
sub-17	meta_metaphor	meta_R_temporal_pole	kj	4	pre	False	35	70	no finite reinstatement values
sub-17	meta_metaphor	meta_R_temporal_pole	kj	4	post	False	35	70	no finite reinstatement values
sub-17	meta_metaphor	meta_R_temporal_pole	kj	4	retrieval	True	35	70	
sub-18	meta_metaphor	meta_L_AG	yy	3	pre	False	35	70	no finite reinstatement values
sub-18	meta_metaphor	meta_L_AG	yy	3	post	False	35	70	no finite reinstatement values
sub-18	meta_metaphor	meta_L_AG	yy	3	retrieval	True	35	70	
sub-18	meta_metaphor	meta_L_AG	yy	4	pre	False	35	70	no finite reinstatement values
sub-18	meta_metaphor	meta_L_AG	yy	4	post	False	35	70	no finite reinstatement values
sub-18	meta_metaphor	meta_L_AG	yy	4	retrieval	True	35	70	
sub-18	meta_metaphor	meta_L_AG	kj	3	pre	False	35	70	no finite reinstatement values
sub-18	meta_metaphor	meta_L_AG	kj	3	post	False	35	70	no finite reinstatement values
sub-18	meta_metaphor	meta_L_AG	kj	3	retrieval	True	35	70	
sub-18	meta_metaphor	meta_L_AG	kj	4	pre	False	35	70	no finite reinstatement values
sub-18	meta_metaphor	meta_L_AG	kj	4	post	False	35	70	no finite reinstatement values
sub-18	meta_metaphor	meta_L_AG	kj	4	retrieval	True	35	70	
sub-18	meta_metaphor	meta_L_IFG	yy	3	pre	False	35	70	no finite reinstatement values
sub-18	meta_metaphor	meta_L_IFG	yy	3	post	False	35	70	no finite reinstatement values
sub-18	meta_metaphor	meta_L_IFG	yy	3	retrieval	True	35	70	
sub-18	meta_metaphor	meta_L_IFG	yy	4	pre	False	35	70	no finite reinstatement values
sub-18	meta_metaphor	meta_L_IFG	yy	4	post	False	35	70	no finite reinstatement values
sub-18	meta_metaphor	meta_L_IFG	yy	4	retrieval	True	35	70	
sub-18	meta_metaphor	meta_L_IFG	kj	3	pre	False	35	70	no finite reinstatement values
sub-18	meta_metaphor	meta_L_IFG	kj	3	post	False	35	70	no finite reinstatement values
sub-18	meta_metaphor	meta_L_IFG	kj	3	retrieval	True	35	70	
sub-18	meta_metaphor	meta_L_IFG	kj	4	pre	False	35	70	no finite reinstatement values
sub-18	meta_metaphor	meta_L_IFG	kj	4	post	False	35	70	no finite reinstatement values
sub-18	meta_metaphor	meta_L_IFG	kj	4	retrieval	True	35	70	
sub-18	meta_metaphor	meta_L_pMTG_pSTS	yy	3	pre	False	35	70	no finite reinstatement values
sub-18	meta_metaphor	meta_L_pMTG_pSTS	yy	3	post	False	35	70	no finite reinstatement values
sub-18	meta_metaphor	meta_L_pMTG_pSTS	yy	3	retrieval	True	35	70	
sub-18	meta_metaphor	meta_L_pMTG_pSTS	yy	4	pre	False	35	70	no finite reinstatement values
